04/04/2024 15:12:59 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='322', fec_anu=getdate() WHERE conse='3344' AND tipo='2' AND ano='2024' # 
04/04/2024 15:13:07 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='179', fec_anu=getdate() WHERE conse='3357' AND tipo='2' AND ano='2024' # 
04/04/2024 15:43:06 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='188', fec_anu=getdate() WHERE conse='3335' AND tipo='2' AND ano='2024' # 
04/04/2024 16:07:07 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='168', fec_anu=getdate() WHERE conse='3314' AND tipo='2' AND ano='2024' # 
04/04/2024 16:14:44 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='125', fec_anu=getdate() WHERE conse='3384' AND tipo='2' AND ano='2024' # 
04/04/2024 16:16:14 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='158', fec_anu=getdate() WHERE conse='3331' AND tipo='2' AND ano='2024' # 
04/04/2024 16:24:47 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='122', fec_anu=getdate() WHERE conse='3387' AND tipo='2' AND ano='2024' # 
04/04/2024 16:33:08 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='118', fec_anu=getdate() WHERE conse='3273' AND tipo='2' AND ano='2024' # 
04/04/2024 16:34:56 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='278', fec_anu=getdate() WHERE conse='3378' AND tipo='2' AND ano='2024' # 
04/04/2024 16:47:20 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='238', fec_anu=getdate() WHERE conse='3269' AND tipo='2' AND ano='2024' # 
04/04/2024 16:53:12 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='237', fec_anu=getdate() WHERE conse='3050' AND tipo='2' AND ano='2024' # 
04/04/2024 17:04:32 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='124', fec_anu=getdate() WHERE conse='3275' AND tipo='2' AND ano='2024' # 
04/04/2024 17:26:22 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='36', fec_anu=getdate() WHERE conse='3347' AND tipo='2' AND ano='2024' # 
04/04/2024 17:40:15 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='324', fec_anu=getdate() WHERE conse='3340' AND tipo='2' AND ano='2024' # 
04/04/2024 17:40:19 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='324', fec_anu=getdate() WHERE conse='3363' AND tipo='2' AND ano='2024' # 
04/04/2024 17:56:19 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='320', fec_anu=getdate() WHERE conse='3358' AND tipo='2' AND ano='2024' # 
04/04/2024 18:06:53 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='52', fec_anu=getdate() WHERE conse='3419' AND tipo='2' AND ano='2024' # 
04/04/2024 18:20:03 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='188', fec_anu=getdate() WHERE conse='3381' AND tipo='2' AND ano='2024' # 
04/04/2024 18:46:12 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='185', fec_anu=getdate() WHERE conse='3428' AND tipo='1' AND ano='2024' # 
04/04/2024 18:53:28 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='215', fec_anu=getdate() WHERE conse='3248' AND tipo='2' AND ano='2024' # 
04/04/2024 18:55:30 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='189', fec_anu=getdate() WHERE conse='3432' AND tipo='2' AND ano='2024' # 
04/04/2024 18:59:21 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3222' AND tipo='2' AND ano='2024' # 
04/04/2024 19:20:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='36', fec_anu=getdate() WHERE conse='3435' AND tipo='2' AND ano='2024' # 
04/04/2024 20:12:29 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='123', fec_anu=getdate() WHERE conse='3450' AND tipo='1' AND ano='2024' # 
04/04/2024 20:17:19 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='322', fec_anu=getdate() WHERE conse='3371' AND tipo='2' AND ano='2024' # 
04/04/2024 20:30:29 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='123', fec_anu=getdate() WHERE conse='3452' AND tipo='2' AND ano='2024' # 
04/04/2024 20:40:29 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='132', fec_anu=getdate() WHERE conse='3408' AND tipo='2' AND ano='2024' # 
04/04/2024 20:59:55 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='324', fec_anu=getdate() WHERE conse='3417' AND tipo='2' AND ano='2024' # 
04/04/2024 21:13:31 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='324', fec_anu=getdate() WHERE conse='3457' AND tipo='2' AND ano='2024' # 
04/04/2024 21:15:53 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='37', fec_anu=getdate() WHERE conse='3453' AND tipo='2' AND ano='2024' # 
04/04/2024 22:23:07 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='41', fec_anu=getdate() WHERE conse='3385' AND tipo='2' AND ano='2024' # 
05/04/2024 07:05:20 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='118', fec_anu=getdate() WHERE conse='3390' AND tipo='2' AND ano='2024' # 
05/04/2024 07:05:24 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='118', fec_anu=getdate() WHERE conse='3402' AND tipo='2' AND ano='2024' # 
05/04/2024 08:04:29 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='38', fec_anu=getdate() WHERE conse='3443' AND tipo='2' AND ano='2024' # 
05/04/2024 08:04:36 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='38', fec_anu=getdate() WHERE conse='3437' AND tipo='2' AND ano='2024' # 
05/04/2024 08:20:36 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='159', fec_anu=getdate() WHERE conse='3473' AND tipo='2' AND ano='2024' # 
05/04/2024 08:37:00 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='168', fec_anu=getdate() WHERE conse='3483' AND tipo='2' AND ano='2024' # 
05/04/2024 08:51:05 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='88', fec_anu=getdate() WHERE conse='3482' AND tipo='2' AND ano='2024' # 
05/04/2024 09:12:34 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='33', fec_anu=getdate() WHERE conse='3489' AND tipo='2' AND ano='2024' # 
05/04/2024 10:09:09 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='36', fec_anu=getdate() WHERE conse='3504' AND tipo='1' AND ano='2024' # 
05/04/2024 10:33:44 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='32', fec_anu=getdate() WHERE conse='3503' AND tipo='2' AND ano='2024' # 
05/04/2024 10:55:04 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='32', fec_anu=getdate() WHERE conse='3513' AND tipo='2' AND ano='2024' # 
05/04/2024 12:14:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='180', fec_anu=getdate() WHERE conse='3520' AND tipo='2' AND ano='2024' # 
05/04/2024 13:14:49 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='53', fec_anu=getdate() WHERE conse='3045' AND tipo='2' AND ano='2024' # 
05/04/2024 13:35:13 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='184', fec_anu=getdate() WHERE conse='3528' AND tipo='2' AND ano='2024' # 
05/04/2024 14:00:45 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='177', fec_anu=getdate() WHERE conse='3541' AND tipo='2' AND ano='2024' # 
05/04/2024 15:27:50 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='36', fec_anu=getdate() WHERE conse='3552' AND tipo='2' AND ano='2024' # 
05/04/2024 15:56:25 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='38', fec_anu=getdate() WHERE conse='3477' AND tipo='2' AND ano='2024' # 
05/04/2024 16:24:21 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='36', fec_anu=getdate() WHERE conse='3531' AND tipo='2' AND ano='2024' # 
05/04/2024 17:19:48 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='116', fec_anu=getdate() WHERE conse='3560' AND tipo='2' AND ano='2024' # 
05/04/2024 18:36:48 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='29', fec_anu=getdate() WHERE conse='3565' AND tipo='2' AND ano='2024' # 
05/04/2024 20:39:07 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='62', fec_anu=getdate() WHERE conse='3570' AND tipo='2' AND ano='2024' # 
06/04/2024 09:26:20 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='58', fec_anu=getdate() WHERE conse='3577' AND tipo='1' AND ano='2024' # 
06/04/2024 09:35:34 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='58', fec_anu=getdate() WHERE conse='3576' AND tipo='2' AND ano='2024' # 
06/04/2024 10:07:14 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='303', fec_anu=getdate() WHERE conse='3399' AND tipo='2' AND ano='2024' # 
06/04/2024 11:37:34 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='303', fec_anu=getdate() WHERE conse='3394' AND tipo='2' AND ano='2024' # 
06/04/2024 12:42:38 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='34', fec_anu=getdate() WHERE conse='3587' AND tipo='2' AND ano='2024' # 
06/04/2024 13:04:24 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='62', fec_anu=getdate() WHERE conse='3588' AND tipo='2' AND ano='2024' # 
06/04/2024 14:48:27 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='61', fec_anu=getdate() WHERE conse='3592' AND tipo='2' AND ano='2024' # 
06/04/2024 15:12:44 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='258', fec_anu=getdate() WHERE conse='3070' AND tipo='2' AND ano='2024' # 
06/04/2024 15:52:51 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='62', fec_anu=getdate() WHERE conse='3593' AND tipo='2' AND ano='2024' # 
