09/09/2024 10:06:00 am # 2024-09-09 10:06:00 # 20241009 10:06:00 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20241009 10:06:00', 'A') # TRANSP2_DIADI # 
12/09/2024 16:31:13 pm # 2024-09-12 16:31:13 # 20241012 16:31:13 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIY804', '20241012 16:31:13', 'A') # TRANSP2_DIADI # 
16/09/2024 14:45:46 pm # 2024-09-16 14:45:46 # 20241016 14:45:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX937', '20241016 14:45:46', 'A') # DRODRIGUE_DIADI # 
24/09/2024 15:20:05 pm # 2024-09-24 15:20:05 # 20241024 15:20:05 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ADM_SIGAR', 'DIX945', '20241024 15:20:05', 'A') # ADM_SIGAR # 
26/09/2024 08:15:48 am # 2024-09-26 08:15:48 # 20241026 08:15:48 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX944', '20241026 08:15:48', 'A') # TRANSP2_DIADI # 
08/10/2024 09:18:01 am # 2024-10-08 09:18:01 # 20241107 09:18:01 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX991', '20241107 09:18:01', 'A') # TRANSP2_DIADI # 
11/10/2024 11:04:03 am # 2024-10-11 11:04:03 # 20241110 11:04:03 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX990', '20241110 11:04:03', 'A') # DRODRIGUE_DIADI # 
12/10/2024 11:45:10 am # 2024-10-12 11:45:10 # 20241111 11:45:10 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ADM_SIGAR', 'DIY805', '20241111 11:45:10', 'A') # ADM_SIGAR # 
15/10/2024 15:29:14 pm # 2024-10-15 15:29:13 # 20241114 15:29:13 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'QVT098', '20241114 15:29:13', 'A') # DRODRIGUE_DIADI # 
15/10/2024 15:30:43 pm # 2024-10-15 15:30:43 # 20241114 15:30:43 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'JID991', '20241114 15:30:43', 'A') # DRODRIGUE_DIADI # 
