03/06/2024 08:41:34 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('833', 'SGA_CEO', '294', '5', '2024', '2000', '0', '0', '0', '2000', '###', '###', '###', '1') # 
04/06/2024 07:37:38 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('834', 'SGR_CACIM', '39', '5', '2024', '29634863', '0', '0', '0', '29634863', '###', '###', '###', '1') # 
04/06/2024 07:37:54 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('835', 'SGR_BRCIM2', '56', '5', '2024', '748537.54', '0', '0', '0', '748537.54', '###', '###', '###', '1') # 
04/06/2024 07:40:59 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('836', 'SGR_CAIMI', '8', '5', '2024', '32898000', '0', '0', '0', '32898000', '###', '###', '###', '1') # 
04/06/2024 08:53:53 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('837', 'SGA_DAVAA', '300', '5', '2024', '13421317.01', '0', '0', '0', '13421317.01', '###', '###', '###', '1') # 
04/06/2024 09:04:25 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('838', 'SGR_BRIMI1', '18', '5', '2024', '3138233.28', '0', '0', '0', '3138233.28', '###', '###', '###', '1') # 
04/06/2024 09:13:13 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('839', 'SGR_BRIMI2', '28', '5', '2024', '3703220', '0', '0', '0', '3703220', '###', '###', '###', '1') # 
04/06/2024 17:02:04 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('840', 'STE_DIADI', '1', '5', '2024', '2525212643.66', '0', '0', '0', '2525212643.66', '###', '###', '###', '1') # 
05/06/2024 21:04:24 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('841', 'SGA_DIV1', '69', '5', '2024', '2831053', '0', '0', '0', '2831053', '###', '###', '###', '1') # 
06/06/2024 15:53:53 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('842', 'STE_DIADI', '1', '5', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '3') # 
11/06/2024 16:56:24 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('843', 'STE_DIADI', '1', '5', '2024', '7912981.4', '0', '0', '0', '7912981.4', '###', '###', '###', '2') # 
01/07/2024 08:45:26 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('844', 'SGR_CAIMI', '8', '6', '2024', '2633000', '0', '0', '0', '2633000', '###', '###', '###', '1') # 
01/07/2024 11:01:58 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('845', 'SGA_FUDRA2', '280', '6', '2024', '4220000', '0', '0', '0', '4220000', '###', '###', '###', '1') # 
01/07/2024 11:27:54 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('846', 'SGA_CEO', '294', '6', '2024', '219845', '0', '0', '0', '219845', '###', '|#0|#|#0.00|', '###', '1') # 
01/07/2024 11:52:26 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('847', 'SGA_DIV4', '141', '6', '2024', '8577683.74', '0', '0', '0', '8577683.74', '###', '###', '###', '1') # 
